Date,0P00006G05,DRAM,GLD,NEE,P52.SI,QQQ,SPY,TLT,ULG.SI,XOM
2024-12-16,3.369999885559082,,244.8800048828125,69.60028076171875,0.5157731175422668,533.9190673828125,596.1073608398438,84.63141632080078,,103.2364501953125
2024-12-17,3.3580000400543213,,243.94000244140625,69.1030502319336,0.511084258556366,531.5678100585938,593.6512451171875,84.83734893798828,,102.79863739013672
2024-12-18,3.309999942779541,,239.25999450683594,67.42974853515625,0.5063954591751099,512.3905029296875,575.9584350585938,83.77649688720703,,101.28536224365234
2024-12-19,3.2790000438690186,,239.60000610351562,66.7126235961914,0.5017066597938538,510.1086730957031,575.7815551757812,82.50801086425781,,100.41927337646484
2024-12-20,3.256999969482422,,242.10000610351562,68.52934265136719,0.5063954591751099,514.5631713867188,582.6973266601562,82.97782897949219,,100.76189422607422
2024-12-23,3.253000020980835,,240.9600067138672,69.31342315673828,0.5063954591751099,519.576416015625,586.1866455078125,82.21673583984375,,101.171142578125
2024-12-24,3.2769999504089355,,241.44000244140625,69.71501922607422,0.5063954591751099,526.6217651367188,592.7020263671875,82.56437683105469,,101.26631164550781
2024-12-26,3.2690000534057617,,243.07000732421875,69.19868469238281,0.5063954591751099,526.2640380859375,592.7415771484375,82.51741027832031,,101.35198211669922
2024-12-27,3.265000104904175,,241.39999389648438,68.95008087158203,0.511084258556366,519.2684326171875,586.5020751953125,81.84087371826172,,101.34246063232422
2024-12-30,3.2679998874664307,,240.6300048828125,68.61540222167969,0.5157731175422668,512.3621826171875,579.80908203125,82.49860382080078,,100.6572036743164
2024-12-31,3.250999927520752,,242.1300048828125,68.54847717285156,0.5204619765281677,508.0097961425781,577.69970703125,82.05699157714844,,102.37987518310547
2025-01-02,3.246999979019165,,245.4199981689453,68.47197723388672,0.5251508355140686,507.0160827636719,576.2802734375,82.28248596191406,,102.13241577148438
2025-01-03,3.265000104904175,,243.49000549316406,68.8353271484375,0.5251508355140686,515.3135375976562,583.48583984375,82.01939392089844,,102.65587615966797
2025-01-06,3.2990000247955322,,243.19000244140625,68.1181869506836,0.5251508355140686,521.2359008789062,586.8470458984375,81.6529541015625,,102.54167175292969
2025-01-07,3.2899999618530273,,244.55999755859375,67.34368896484375,0.5251508355140686,511.9349060058594,580.2132568359375,80.73210906982422,,103.50293731689453
2025-01-08,3.319000005722046,,245.86000061035156,67.56361389160156,0.5251508355140686,512.0243530273438,581.0609741210938,80.83548736572266,,101.770751953125
2025-01-09,,,,,0.5298396944999695,,,,,
2025-01-10,3.247999906539917,,248.2100067138672,64.4273452758789,0.5251508355140686,503.9952087402344,572.1896362304688,80.29989624023438,,101.39957427978516
2025-01-13,3.2269999980926514,,245.74000549316406,64.02574157714844,0.5251508355140686,502.37548828125,573.0768432617188,80.2717056274414,,104.01688385009766
2025-01-14,3.255000114440918,,247.02999877929688,65.00106048583984,0.5251508355140686,501.89849853515625,573.8652954101562,80.1401596069336,,104.42613220214844
2025-01-15,3.25,,248.8800048828125,66.25365447998047,0.5298396944999695,513.4453125,584.303955078125,81.52140808105469,,106.12976837158203
2025-01-16,3.2769999504089355,,250.60000610351562,68.24250030517578,0.5345285534858704,509.84814453125,583.1802368164062,81.78450775146484,,105.94894409179688
2025-01-17,3.2950000762939453,,249.27000427246094,67.65923309326172,0.5251508355140686,518.45361328125,589.0353393554688,81.92545318603516,,106.90068817138672
2025-01-20,,,,,0.5814170241355896,,,,,
2025-01-21,3.3320000171661377,,253.1300048828125,67.74528503417969,0.576728105545044,521.4943237304688,594.4270629882812,82.65834045410156,,106.09170532226562
2025-01-22,3.3269999027252197,,254.42999267578125,65.48870086669922,0.5626616477966309,528.162109375,597.7686157226562,82.22611999511719,,104.24530029296875
2025-01-23,3.322000026702881,,254.07000732421875,66.19628143310547,0.576728105545044,529.284912109375,601.0311889648438,81.58717346191406,,104.83538818359375
2025-01-24,3.3529999256134033,,255.64999389648438,69.63851928710938,0.5861058235168457,526.2937622070312,599.276611328125,81.9536361694336,,103.41728210449219
2025-01-27,3.322999954223633,,252.99000549316406,70.59469604492188,0.5861058235168457,510.9710388183594,590.7998046875,82.92144012451172,,104.85443115234375
2025-01-28,3.3399999141693115,,255.17999267578125,67.44886779785156,0.5907947421073914,518.5230712890625,595.8760986328125,82.86508178710938,,102.82718658447266
2025-01-29,,,254.1999969482422,67.78353118896484,,517.54931640625,593.204833984375,82.6959457397461,,103.42678833007812
