Date,DRAM_return_1d,DRAM_return_5d,DRAM_ma20,DRAM_ma50,DRAM_vol20,NEE_return_1d,NEE_return_5d,NEE_ma20,NEE_ma50,NEE_vol20,P52.SI_return_1d,P52.SI_return_5d,P52.SI_ma20,P52.SI_ma50,P52.SI_vol20,ULG.SI_return_1d,ULG.SI_return_5d,ULG.SI_ma20,ULG.SI_ma50,ULG.SI_vol20,XOM_return_1d,XOM_return_5d,XOM_ma20,XOM_ma50,XOM_vol20
2025-10-20,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.0028391887300205365,0.0055753095099349,78.87680053710938,74.08941314697266,0.01347172059978595,0.0,-0.04273507924312081,1.1398443162441254,1.148399622440338,0.018934134412512477,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.00409834043411661,0.00409834043411661,110.65886421203614,109.45272720336914,0.012325111750065218
2025-10-21,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.009201331214197639,-0.007679629139443422,79.4482650756836,74.33781021118165,0.013898396061214999,0.026785759956519106,-0.017094010860930653,1.1378883361816405,1.149561505317688,0.0194844368752507,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,8.879690983976118e-05,0.0037403784084577563,110.59822044372558,109.60059005737304,0.011670002275052039
2025-10-22,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.013692222761821249,-0.03438638426744467,79.88947219848633,74.55512893676757,0.014303641584830036,0.026086893847356407,-0.008403511117052065,1.1373993337154389,1.1505344772338868,0.02044170039777682,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.017744656326263097,0.027775327875027678,110.60555648803711,109.75908630371094,0.012307625047202737
2025-10-23,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.00494938754714469,-0.021164089011470266,80.31060256958008,74.78164520263672,0.014251163516394359,-0.016949147289896604,-0.008547057521259505,1.1364213466644286,1.1524737334251405,0.02070925852409207,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.011071442802361942,0.04826466731525736,110.62463035583497,109.94669113159179,0.01239487734652088
2025-10-24,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.01393398788678435,-0.0014195943650102683,80.72977447509766,74.96926696777344,0.014175879104544672,-0.008620634397738303,0.026785759956519106,1.136910343170166,1.1530538392066956,0.01929648541414425,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.005087154903604563,0.02806488267637053,110.5351318359375,110.1207975769043,0.0120019992507911
2025-10-27,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.01919195303104604,0.014863724229320585,81.21064682006836,75.18259490966797,0.014502130882884686,0.026086893847356407,0.05357141108048191,1.1388663172721862,1.1548025131225585,0.020117036825692394,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.00476646176011708,0.028748951203295015,110.61925048828125,110.30116394042969,0.010518509995556527
2025-10-28,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.028594638005081552,-0.0050006177151810105,81.60631370544434,75.33238220214844,0.01612866545259813,-0.03389829457979332,-0.008695701944746448,1.1393553078174592,1.1559627223014832,0.021553094882729263,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.007848918527516568,0.02058375981592775,110.73075637817382,110.45003463745117,0.01023106447548314
2025-10-29,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.021658403208947852,-0.013036998251746756,81.75762748718262,75.45313079833984,0.01468906748869738,0.008771980472399576,-0.02542366928549533,1.138377320766449,1.1559610509872436,0.02006553965109657,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.012344532965395505,0.015168572255034096,110.94887809753418,110.60496963500977,0.010355358844955103
2025-10-30,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.0014677849081984329,-0.01933931742099393,81.92705917358398,75.57347244262695,0.014586397686367311,-0.026086999840797875,-0.03448274775037474,1.1364213466644286,1.15420902967453,0.020797903451338935,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.015113665462582748,-0.01112264500849569,111.11515960693359,110.71178100585938,0.010902461917456347
2025-10-31,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.002939694095478229,-0.03565927186382123,81.9926773071289,75.68444839477539,0.013686172199522555,0.0,-0.026086999840797875,1.1334873855113983,1.1528448605537414,0.020330231042624297,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.002877345562346645,-0.008926241145394642,111.16895637512206,110.77203369140625,0.010250722264700682
